doi	text	study type	center
10.1101/2020.05.12.20099879	Early Safety Indicators of COVID-19 ConvalescentPlasma in 5,000 Patients. Background: Convalescent plasma is the only antibody based therapy currently available for COVID-19 patients. It has robust historical precedence and sound biological plausibility. Although promising, convalescent plasma has not yet been shown to be safe as a treatment for COVID-19. Methods: Thus, we analyzed key safety metrics after transfusion of ABO-compatible human COVID-19 convalescent plasma in 5,000 hospitalized adults with severe or life threatening COVID-19, with 66% in the intensive care unit, as part of the US FDA Expanded Access Program for COVID-19 convalescent plasma. Results: The incidence of all serious adverse events (SAEs) in the first four hours after transfusion was <1%, including mortality rate (0.3%). Of the 36 reported SAEs, there were 25 reported incidences of related SAEs, including mortality (n=4), transfusion-associated circulatory overload (TACO; n=7), transfusion-related acute lung injury (TRALI; n=11), and severe allergic transfusion reactions (n=3). However, only 2 (of 36) SAEs were judged as definitely related to the convalescent plasma transfusion by the treating physician. The seven-day mortality rate was 14.9%. Conclusion: Given the deadly nature of COVID-19 and the large population of critically-ill patients included in these analyses, the mortality rate does not appear excessive. These early indicators suggest that transfusion of convalescent plasma is safe in hospitalized patients with COVID-19.	observational study	multicenter
10.1101/2020.04.07.20056440	Convalescent Plasma to Treat COVID-19: Chinese Strategy and Experiences. The COVID-19 is currently spreading around the world, which has posed significant threats to global health and economy. Convalescent plasma is confirmed effective against the novel corona virus in preliminary studies. In this paper, we first described the therapeutic schedule, antibody detection method, indications, contraindications of the convalescent plasmas, and reported the operability of the treatment by case study.	observational study	single center
10.1101/2020.03.16.20036145	The feasibility of convalescent plasma therapy in severe COVID-19 patients: a pilot study. Currently, there are no approved specific antiviral agents for 2019 novel coronavirus disease (COVID-19). In this study, ten severe patients confirmed by real-time viral RNA test were enrolled prospectively. One dose of 200 mL convalescent plasma (CP) derived from recently recovered donors with the neutralizing antibody titers above 1:640 was transfused to the patients as an addition to maximal supportive care and antiviral agents. The primary endpoint was the safety of CP transfusion. The second endpoints were the improvement of clinical symptoms and laboratory parameters within 3 days after CP transfusion. The median time from onset of illness to CP transfusion was 16.5 days. After CP transfusion, the level of neutralizing antibody increased rapidly up to 1:640 in five cases, while that of the other four cases maintained at a high level (1:640). The clinical symptoms were significantly improved along with increase of oxyhemoglobin saturation within 3 days. Several parameters tended to improve as compared to pre-transfusion, including increased lymphocyte counts (0.65*109/L vs. 0.76*109/L) and decreased C-reactive protein (55.98 mg/L vs. 18.13 mg/L). Radiological examinations showed varying degrees of absorption of lung lesionswithin 7 days. The viral load was undetectable after transfusion in seven patients who had previous viremia. No severe adverse effects were observed. This study showed CP therapy was welltolerated and could potentially improve the clinical outcomes through neutralizing viremia in severe COVID-19 cases. The optimal dose and time point, as well as the clinical benefit of CP therapy, needs further investigation in larger well-controlled trials.	other	single center
10.1101/2020.03.03.20030668	Clinical findings in critical ill patients infected with SARS-Cov-2 in Guangdong Province, China: a multi-center, retrospective, observational study. Abstract Background In December 2019, human infection with a novel coronavirus, known as SARS-CoV-2, was identified in Wuhan, China. The mortality of critical illness was high in Wuhan. Information about critically ill patients with SARS-CoV-2 infection outside of Wuhan is scarce. We aimed to provide the clinical features, treatment, and prognosis of the critically ill patients with SARS-CoV-2 infection in Guangdong Province. Methods In this multi-centered, retrospective, observational study, we enrolled critically ill patients with SARS-CoV-2 pneumonia who were admitted to the intensive care unit (ICU) in Guangdong Province. Demographic data, symptoms, laboratory findings, comorbidities, treatments, and prognosis were collected. Data were compared between patients with and without intubation. Results Forty-five critically ill patients with SARS-CoV-2 pneumonia were identified in 7 ICUs in Guangdong Province. The mean age was 56.7 years, and 29 patients (64.4%) were men. The most common symptoms at the onset of illness were high fever and cough. Majority of patients presented with lymphopenia and elevated lactate dehydrogenase. Treatment with antiviral drugs was initiated in all the patients. Thirty-seven patients (82.2%) had developed acute respiratory distress syndrome, and 13 (28.9%) septic shock. A total of 20 (44.4%) patients required intubation and 9 (20%) required extracorporeal membrane oxygenation. As of February 28th 2020, only one patient (2.2%) had died and half of them had discharged of ICU. Conclusions Infection with SARS-CoV-2 in critical illness is characterized by fever, lymphopenia, acute respiratory failure and multiple organ dysfunction. Compared with critically ill patients infected with SARS-CoV-2 in Wuhan, the mortality of critically ill patients in Guangdong Province was relatively low. These data provide some general understandings and experience for the critical patients with SARS-CoV-2 outside of Wuhan.	observational study	multicenter
10.1101/2020.04.28.20073767	COVID-19 in people living with human immunodeficiency virus: A case series of 33 patients. Data on people living with human immunodeficiency virus (PLWH) in the current SARS-CoV-2 pandemic is still scarce. This case series of 33 PLWH patients with COVID-19 reveals symptoms and outcome in this special population. Three out of 32 patients with documented outcome died (9%). However, 91% of the patients recovered and 76% have been classified as mild cases, indicating that there is no excess morbidity and mortality among PLWH with symptomatic COVID-19. All patients were on antiretroviral treatment, of them 22 on tenofovir-containing regimen, and 4 on the protease inhibitor darunavir.	other	multicenter
10.1101/2020.03.22.20034041	First Clinical Study Using HCV Protease Inhibitor Danoprevir to Treat Naive and Experienced COVID-19 Patients. As coronavirus disease 2019 (COVID-19) outbreak, caused by the severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2), started in China in January, 2020, repurposing approved drugs is emerging as important therapeutic options. We reported here the first clinical study using hepatitis C virus (HCV) protease inhibitor, danoprevir, to treat COVID-19 patients. Danoprevir (Ganovo) is a potent HCV protease (NS3/4A) inhibitor (IC50 = 0.29 nM), which was approved and marketed in China since 2018 to treat chronic hepatitis C patients. Ritonavir is a CYP3A4 inhibitor to enhance plasma concentration of danoprevir while it also acts as a human immunodeficiency virus (HIV) protease inhibitor at high doses. The chymotrypsin-like protease of SARS-CoV-2 shares structure similarity with HCV and HIV proteases. In the current clinical study (NCT04291729) conducted at the Nineth Hospital of Nanchang, we evaluated therapeutic effects of danoprevir, boosted by ritonavir, on treatment naive and experienced COVID-19 patients. The data from this small-sample clinical study showed that danoprevir boosted by ritonavir is safe and well tolerated in all patients. After 4 to 12-day treatment of danoprevir boosted by ritonavir, all eleven patients enrolled, two naive and nine experienced, were discharged from the hospital as they met all four conditions as follows: (1) normal body temperature for at least 3 days; (2) significantly improved respiratory symptoms; (3) lung imaging shows obvious absorption and recovery of acute exudative lesion; and (4) two consecutive RT-PCR negative tests of SARS-CoV-2 nucleotide acid (respiratory track sampling with interval at least one day). Our findings suggest that repurposing danoprevir for COVID-19 is a promising therapeutic option.	observational study	single center
10.1101/2020.04.25.20079079	Lopinavir-ritonavir alone or combined with arbidol in the treatment of 73 hospitalized patients with COVID-19: a pilot retrospective study. Objectives: This study aimed to evaluate the antiviral efficacy of lopinavir/ritonavir alone or combined with arbidol in the treatment of hospitalized patients with common coronavirus disease-19 (COVID-19). Methods: In this retrospective observational study, COVID-19 hospitalized patients were identified and divided into two groups based on the antiviral agents used during their hospitalization. Group-LR patients were treated with single antiviral drug of lopinavir-ritonavir. Group-LR+Ar patients were treated with lopinavir-ritonavir combined with arbidol for antiviral therapy at least 3 days. Patients were assessed for different clinical outcomes. Results: A total of 34 and 39 patients were identified for Group-LR and Group-LR+Ar, respectively. Treatment with lopinavir-ritonavir alone was not difference from lopinavir-ritonavir combined with arbidol in overall cure rate of COVID-19 hospitalized patients (92.3% and 97.1%, respectively). In a modified intention-to-treat analysis, lopinavir-ritonavir combined with abidol led to a median time of hospital stay that was shorter by 1.5 days than group-LR (12.5 days vs. 14 days). The percentages of COVID-19 RNA clearance was 92.3 in group-LR and 97.1 in group-LR+Ar. The mean time of virus turning negative was 11.5 plus-or-minus sign 9.0 days in group-LR+Ar that were longer than group-LR. Treatment of lopinavir-ritonavir combined with arbidol did not significantly accelerate main symptoms improvement and promote the image absorption of pulmonary inflammation. Conclusion: No benefit was observed in the anti-virus effect of lopinavir-ritonavir combined with arbidol compared with lopinavir-ritonavir alone in the hospitalized patients with COVID-19. More clinical observations in COVID-19 patients may help to confirm or exclude the effect of antiviral agents.	observational study	single center
10.1101/2020.03.19.20038984	An exploratory randomized controlled study on the efficacy and safety of lopinavir/ritonavir or arbidol treating adult patients hospitalized with mild/moderate COVID-19 (ELACOI). Background: Antiviral therapies against the novel coronavirus SARS-CoV-2, which has caused a global pandemic of respiratory illness called COVID-19, are still lacking. Methods: Our study (NCT04252885, named ELACOI), was an exploratory randomized (2:2:1) controlled trial assessing the efficacy and safety of lopinavir/ritonavir (LPV/r) or arbidol monotherapy for treating patients with mild/moderate COVID-19. Findings: This study successfully enrolled 86 patients with mild/moderate COVID-19 with 34 randomly assigned to receive LPV/r, 35 to arbidol and 17 with no antiviral medication as control. Baseline characteristics of the three groups were comparable. The primary endpoints, the average time of positive-to-negative conversion of SARS-CoV-2 nucleic acid and conversion rates at days 7 and 14, were similar between groups (all P>0.05). There were no differences between groups in the secondary endpoints, the rates of antipyresis, cough alleviation, or improvement of chest CT at days 7 or 14 (all P>0.05). At day 7, eight (23.5%) patients in the LPV/r group, 3 (8.6%) in the arbidol group and 2(11.8%) in the control group showed a deterioration in clinical status from moderate to severe/critical(P =0.206). Overall, 12 (35.3%) patients in the LPV/r group and 5 (14.3%) in the arbidol group experienced adverse events during the follow-up period. No apparent adverse event occurred in the control group. Conclusions: LPV/r or arbidol monotherapy present little benefit for improving the clinical outcome of patients hospitalized with mild/moderate COVID-19 over supportive care.	RCT	single center
10.1101/2020.03.28.20045955	Medical treatment of 55 patients with COVID-19 from seven cities in northeast China who fully recovered: a single-center, retrospective, observational study. Background: COVID-19 is an emerging disease caused by the SARS-CoV-2 virus; no specific medication has been identified to date. We aimed to investigate the administered medications and intervention times for patients who completely recovered from COVID-19. Methods: This single-center, retrospective, and observational study included 55 patients with COVID-19 who were transferred to Shenyang Sixth People's Hospital between January 20 and March 15, 2020. Demographic information, symptoms, laboratory indicators, treatment processes, and clinical outcomes were collected. Administered drugs and intervention times were compared in 47 and eight patients with mild and severe symptoms, respectively. Findings: All 55 patients recovered. Fifty-three patients (96.36%) received antiviral therapy, including 45 in the mild group (median treatment: 14 days; 17 received umifenovir) and all eight severe-group patients (median treatment: 17.5 days; four received lopinavir/ritonavir). Twenty-nine patients (52.72%) were administered antibiotics, including 21 in the mild group (median treatment: 13.5 days; 15 received moxifloxacin) and all eight in the severe group (median treatment: 9 days; two received linezolid). Moreover, seven patients (12.72%) were treated with glucocorticoids and nine (16.36%) with immunomodulators. Interpretation: Given the 100% recovery rate, early administration of antiviral drugs can be considered. Umifenovir may benefit patients with mild symptoms, while lopinavir/ritonavir may benefit those with severe symptoms. Prophylactic administration of common antibiotics may reduce the risk of co-infection. The use of glucocorticoids is usually not necessary.	observational study	single center
10.1101/2020.05.21.20109512	Treatment of Six COVID-19 Patients with Convalescent Plasma. Objective To describe the efficacy of convalescent plasma transfusion for COVID-19 patients. Methods This is a retrospective study of 6 COVID-19 patients with convalescent plasma at Guizhou Provincial Jiangjunshan Hospital [boxh] a tertial hospital, in Guiyang, Guizhou, China, from January 29, to April 30, 2020; final data of follow-up was May 12, 2020. Through the review of the electronic medical records of Guizhou Jiangjunshan Hospital, clinical data of 6 patients were obtained. Three patients with worsening symptoms after empirical treatment with antivirals were transfused convalescent plasma therapy for the first treatment, while the other three severe or critical COVID-19 patients with rapid progression were transfused. The efficacy of convalescent plasma depends on the relief of symptoms, changes in laboratory indicators and chest imaging abnormalities. Results The PaO2 / FiO2 and lymphocyte count of patients 1, 2 and 3 treated with convalescent plasma treatment for the first treatment period were changed from abnormal to normal. The levels of inflammation markers CRP and IL-6 of the patients decreased significantly. Chest imaging examination showed that the lung lesions gradually subsided. The relapsed patients (No. 4 and No. 6), after using convalescent plasma therapy, turned negative on two consecutive throat swab tests on Day 24 and Day 3, respectively. Conclusions Convalescent plasma treatment of COVID-19 is beneficial for those patients with be difficult to turn to negative or re-positive RT-PCR.	observational study	single center
10.1101/2020.05.20.20102236	Convalescent plasma treatment of severe COVID-19: A matched control study. Background Since December 2019, Coronavirus Disease 2019 (COVID-19) has become a global pandemic, causing mass morbidity and mortality. Prior studies in other respiratory infections suggest that convalescent plasma transfusion may offer benefit to some patients. Here, the outcomes of thirty-nine hospitalized patients with severe to life-threatening COVID-19 who received convalescent plasma transfusion were compared against a cohort of retrospectively matched controls. Methods Plasma recipients were selected based on supplemental oxygen needs at the time of enrollment and the time elapsed since the onset of symptoms. Recipients were transfused with convalescent plasma from donors with a SARS-CoV-2 (severe acute respiratory disease coronavirus 2) anti-spike antibody titer of [&ge;]1:320 dilution. Matched control patients were retrospectively identified within the electronic health record database. Supplemental oxygen requirements and survival were compared between plasma recipients and controls. Results Convalescent plasma recipients were more likely than control patients to remain the same or have improvements in their supplemental oxygen requirements by post-transfusion day 14, with an odds ratio of 0.86 (95% CI: 0.75~0.98; p=0.028). Plasma recipients also demonstrated improved survival, compared to control patients (log-rank test: p=0.039). In a covariates-adjusted Cox model, convalescent plasma transfusion improved survival for non-intubated patients (hazard ratio 0.19 (95% CI: 0.05 ~0.72); p=0.015), but not for intubated patients (1.24 (0.33~4.67); p=0.752). Conclusions Convalescent plasma transfusion is a potentially efficacious treatment option for patients hospitalized with COVID-19; however, these data suggest that non-intubated patients may benefit more than those requiring mechanical ventilation.	observational study	single center
